Title;Artist;Key;Theme;Date;CCLI
A Thousand Hallelujahs;Brooke Ligertwood, Phil Wickham, Scott Ligertwood;Eb;;2025-09-07;7190270
Abide;Aaron Keyes, Aaron Williams, Jake Fauber;G;;2025-07-20;7168160
All Heaven Declares;Noel Richards, Tricia Richards;A;;2024-12-15;120556
All Who Are Thirsty;Brenton Brown, Glenn Robertson;E;;2025-02-23;2489542
Amazing Grace (My Chains Are Gone);Chris Tomlin, John Newton, Louie Giglio;D;;2025-05-25;4768151
Another In The Fire;Chris Davenport, Joel Houston;D;;2025-08-24;7124907
At Your Name;Phil Wickham, Tim Hughes;F;;2025-02-16;5942543
Battle Belongs;Brian Johnson, Phil Wickham;Ab;;2025-08-24;7148126
Be Still;David J. Evans;C;;2025-02-16;120824
Be The Centre;Michael Frye;D;;2025-06-15;2650429
Be Thou My Vision;Eleanor Henrietta Hull, Mary Elizabeth Byrne, Russell Mauldin;D;;2025-09-07;7056332
Because He Lives;Gloria Gaither, William J. Gaither;G;;2025-03-15;16880
Before The Throne Of God Above;Charitie Lees Bancroft, Vikki Cook;C;;2025-02-09;2306412
Before The Throne Of God Above;Charitie Lees Bancroft, Vikki Cook;;;2025-01-26;2306412
Behold The Lamb;Keith Getty, Kristyn Getty, Stuart Townend;C;;2025-02-02;5003372
Blessed Assurance;Fanny Jane Crosby, Phoebe Palmer Knapp;C;;2025-08-24;22324
Blessed Assurance;Fanny Jane Crosby, Phoebe Palmer Knapp;;;2025-06-08;22324
Blessed Be Your Name;Beth Redman, Matt Redman;G;;2025-08-03;3798438
Boldly I Approach;Rend Collective;G;;2025-08-03;7014655
Break Every Chain;Will Reagan;C;;2024-11-22;5910977
Break Every Chain;Will Reagan;;;2024-09-21;5910977
Breathe;Marie Barnett;A;;2025-01-26;1874117
Build My Life;Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett;Eb;;2025-09-07;7070345
Build My Life;Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett;;;2025-07-27;7070345
Build My Life;Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett;;;2025-06-22;7070345
Build My Life;Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett;;;2025-05-25;7070345
Build My Life;Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett;;;2025-03-02;7070345
Build My Life;Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett;;;2025-02-02;7070345
Build My Life;Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett;;;2025-01-05;7070345
Build My Life;Brett Younker, Karl Martin, Kirby Kaple, Matt Redman, Pat Barrett;;;2024-09-21;7070345
Build Your Kingdom Here;Chris Llewellyn, Gareth Gilkeson, William Herron;C;;2025-02-15;6186078
Build Your Kingdom Here;Chris Llewellyn, Gareth Gilkeson, William Herron;;;2024-11-22;6186078
Christ Is Enough;Jonas Myrin, Reuben Morgan;G;;2024-09-08;6514035
Come Now Is The Time To Worship;Brian Doerksen;D;;2025-09-07;2430948
Come Now Is The Time To Worship;Brian Doerksen;;;2025-01-26;2430948
Come Now Is The Time To Worship;Brian Doerksen;;;2024-12-15;2430948
Come Thou Fount Of Every Blessing;Bob Kauflin, John Wyeth, Robert Robinson;;;2025-04-06;6578947
Cornerstone;Edward Mote, Eric Liljero, Jonas Myrin, Reuben Morgan, William Batchelder Bradbury;C;;2025-06-15;6158927
Cornerstone;Edward Mote, Eric Liljero, Jonas Myrin, Reuben Morgan, William Batchelder Bradbury;;;2025-01-26;6158927
Cornerstone;Edward Mote, Eric Liljero, Jonas Myrin, Reuben Morgan, William Batchelder Bradbury;;;2024-11-22;6158927
Cornerstone;Edward Mote, Eric Liljero, Jonas Myrin, Reuben Morgan, William Batchelder Bradbury;;;2024-09-29;6158927
Cornerstone;Edward Mote, Eric Liljero, Jonas Myrin, Reuben Morgan, William Batchelder Bradbury;;;2024-09-22;6158927
Crown Him With Many Crowns (Diademata);George Job Elvey, Godfrey Thring, Matthew Bridges;C;;2024-09-08;23938
Draw Me Close;Kelly Carpenter;A;;2025-02-02;1459484
Everlasting God;Brenton Brown, Ken Riley;Bb;;2025-06-22;4556538
Forever;Chris Tomlin;G;;2025-07-20;3148428
Forever;Chris Tomlin;;;2024-10-20;3148428
Forever Reign;Jason Ingram, Reuben Morgan;Bb;;2024-12-15;5639997
Freedom;Brett Younker, Hank Bentley, Jordan Frye, Kristian Stanfill, Mia Fieldes;;;2025-07-27;7078151
Freedom;Brett Younker, Hank Bentley, Jordan Frye, Kristian Stanfill, Mia Fieldes;;;2025-06-08;7078151
Freedom;Brett Younker, Hank Bentley, Jordan Frye, Kristian Stanfill, Mia Fieldes;;;2025-02-09;7078151
Freedom;Brett Younker, Hank Bentley, Jordan Frye, Kristian Stanfill, Mia Fieldes;;;2024-10-20;7078151
Glorious Day;Jason Ingram, Jonathan Smith, Kristian Stanfill, Sean Curran;;;2024-11-22;7081388
